Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Labeled Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
urine_synth_XOP_084	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_084	Labelling metabolites	labeled_synth_XOM_084	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_084	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_085	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_085	Labelling metabolites	labeled_synth_XOM_085	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_085	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_086	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_086	Labelling metabolites	labeled_synth_XOM_086	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_086	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_087	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_087	Labelling metabolites	labeled_synth_XOM_087	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_087	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_088	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_088	Labelling metabolites	labeled_synth_XOM_088	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_088	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_089	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_089	Labelling metabolites	labeled_synth_XOM_089	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_089	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_090	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_090	Labelling metabolites	labeled_synth_XOM_090	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_090	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_091	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_091	Labelling metabolites	labeled_synth_XOM_091	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_091	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_092	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_092	Labelling metabolites	labeled_synth_XOM_092	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_092	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_093	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_093	Labelling metabolites	labeled_synth_XOM_093	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_093	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_094	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_094	Labelling metabolites	labeled_synth_XOM_094	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_094	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_095	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_095	Labelling metabolites	labeled_synth_XOM_095	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_095	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_096	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_096	Labelling metabolites	labeled_synth_XOM_096	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_096	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_097	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_097	Labelling metabolites	labeled_synth_XOM_097	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_097	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_098	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_098	Labelling metabolites	labeled_synth_XOM_098	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_098	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_099	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_099	Labelling metabolites	labeled_synth_XOM_099	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_099	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_100	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_100	Labelling metabolites	labeled_synth_XOM_100	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_100	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
